Tabelle: 13321-0003
Employees: Germany, quarters, domestic concept / national;;;;;;;;
concept, original and adjusted data;;;;;;;;
Employment accounts;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
;;;Domestic concept / national concept;;;;;;;;;;;
;;;Place of work in Germany;;;;;;Place of residence in Germany;;;;;
;;;Employees;;Rate of change on previous quarter;;Rate of change on previous year's quarter;;Employees;;Rate of change on previous quarter;;Rate of change on previous year's quarter;
;;;1000;1000;percent;percent;percent;percent;1000;1000;percent;percent;percent;percent
;;Quarter 2;41704;p;0.8;p;1.9;p;41490;p;0.7;p;1.8;p
;;Quarter 3;41888;p;0.4;p;1.5;p;41650;p;0.4;p;1.4;p
;;Quarter 4;42160;p;0.6;p;1.4;p;41951;p;0.7;p;1.3;p
;2023;Quarter 1;41850;p;-0.7;p;1.2;p;41658;p;-0.7;p;1.1;p
;;Quarter 2;42129;p;0.7;p;1.0;p;41910;p;0.6;p;1.0;p
;;Quarter 3;42238;p;0.3;p;0.8;p;42008;p;0.2;p;0.9;p
;;Quarter 4;42436;p;0.5;p;0.7;p;42238;p;0.5;p;0.7;p
;2024;Quarter 1;42065;p;-0.9;p;0.5;p;41883;p;-0.8;p;0.5;p
;;Quarter 2;42300;p;0.6;p;0.4;p;42092;p;0.5;p;0.4;p
;;Quarter 3;42326;p;0.1;p;0.2;p;42105;p;0.0;p;0.2;p
;;Quarter 4;...;;...;;...;;...;;...;;...;
X13 JDemetra+  seasonally adjusted;2008;Quarter 1;36277;p;0.7;p;x;;36199;p;0.8;p;x;
;;Quarter 2;36320;p;0.1;p;x;;36256;p;0.2;p;x;
;;Quarter 3;36409;p;0.2;p;x;;36344;p;0.2;p;x;
;;Quarter 4;36489;p;0.2;p;x;;36419;p;0.2;p;x;
;2009;Quarter 1;36527;p;0.1;p;x;;36459;p;0.1;p;x;
;;Quarter 2;36409;p;-0.3;p;x;;36344;p;-0.3;p;x;
;;Quarter 3;36350;p;-0.2;p;x;;36287;p;-0.2;p;x;
;;Quarter 4;36366;p;0.0;p;x;;36310;p;0.1;p;x;
;2010;Quarter 1;36396;p;0.1;p;x;;36343;p;0.1;p;x;
;;Quarter 2;36544;p;0.4;p;x;;36493;p;0.4;p;x;
;;Quarter 3;36648;p;0.3;p;x;;36595;p;0.3;p;x;
;;Quarter 4;36744;p;0.3;p;x;;36700;p;0.3;p;x;
;2011;Quarter 1;36848;p;0.3;p;x;;36811;p;0.3;p;x;
;;Quarter 2;36985;p;0.4;p;x;;36943;p;0.4;p;x;
;;Quarter 3;37101;p;0.3;p;x;;37053;p;0.3;p;x;
;;Quarter 4;37229;p;0.3;p;x;;37187;p;0.4;p;x;
;2012;Quarter 1;37379;p;0.4;p;x;;37329;p;0.4;p;x;
;;Quarter 2;37486;p;0.3;p;x;;37425;p;0.3;p;x;
;;Quarter 3;37590;p;0.3;p;x;;37523;p;0.3;p;x;
;;Quarter 4;37705;p;0.3;p;x;;37644;p;0.3;p;x;
;2013;Quarter 1;37766;p;0.2;p;x;;37706;p;0.2;p;x;
;;Quarter 2;37809;p;0.1;p;x;;37755;p;0.1;p;x;
;;Quarter 3;37917;p;0.3;p;x;;37859;p;0.3;p;x;
;;Quarter 4;38021;p;0.3;p;x;;37955;p;0.3;p;x;
;2014;Quarter 1;38165;p;0.4;p;x;;38100;p;0.4;p;x;
;;Quarter 2;38268;p;0.3;p;x;;38205;p;0.3;p;x;
;;Quarter 3;38340;p;0.2;p;x;;38276;p;0.2;p;x;
;;Quarter 4;38395;p;0.1;p;x;;38321;p;0.1;p;x;
;2015;Quarter 1;38487;p;0.2;p;x;;38405;p;0.2;p;x;
;;Quarter 2;38655;p;0.4;p;x;;38566;p;0.4;p;x;
;;Quarter 3;38806;p;0.4;p;x;;38710;p;0.4;p;x;
;;Quarter 4;38951;p;0.4;p;x;;38848;p;0.4;p;x;
;2016;Quarter 1;39075;p;0.3;p;x;;38968;p;0.3;p;x;
;;Quarter 2;39245;p;0.4;p;x;;39133;p;0.4;p;x;
;;Quarter 3;39402;p;0.4;p;x;;39278;p;0.4;p;x;
;;Quarter 4;39588;p;0.5;p;x;;39459;p;0.5;p;x;
;2017;Quarter 1;39736;p;0.4;p;x;;39608;p;0.4;p;x;
;;Quarter 2;39918;p;0.5;p;x;;39781;p;0.4;p;x;
;;Quarter 3;40094;p;0.4;p;x;;39945;p;0.4;p;x;
;;Quarter 4;40245;p;0.4;p;x;;40088;p;0.4;p;x;
;2018;Quarter 1;40437;p;0.5;p;x;;40284;p;0.5;p;x;
;;Quarter 2;40594;p;0.4;p;x;;40433;p;0.4;p;x;
;;Quarter 3;40724;p;0.3;p;x;;40554;p;0.3;p;x;
;;Quarter 4;40848;p;0.3;p;x;;40674;p;0.3;p;x;
;2019;Quarter 1;40996;p;0.4;p;x;;40819;p;0.4;p;x;
;;Quarter 2;41126;p;0.3;p;x;;40947;p;0.3;p;x;
;;Quarter 3;41185;p;0.1;p;x;;41003;p;0.1;p;x;
;;Quarter 4;41280;p;0.2;p;x;;41097;p;0.2;p;x;
;2020;Quarter 1;41335;p;0.1;p;x;;41169;p;0.2;p;x;
;;Quarter 2;40765;p;-1.4;p;x;;40610;p;-1.4;p;x;
;;Quarter 3;40762;p;0.0;p;x;;40609;p;0.0;p;x;
;;Quarter 4;40854;p;0.2;p;x;;40687;p;0.2;p;x;
