,2014 offence or offence category,2014 recorded cases,2014 clearance rate %,2015 offence or offence category,2015 recorded cases,2015 clearance rate %,2016 offence or offence category,2016 recorded cases,2016 clearance rate %,2017 offence or offence category,2017 recorded cases,2017 clearance rate %,2018 offence or offence category,2018 recorded cases,2018 clearance rate %,2019 offence or offence category,2019 recorded cases,2019 clearance rate %,2020 offence or offence category,2020 recorded cases,2020 clearance rate %,2021 offence or offence category,2021 recorded cases,2021 clearance rate %,2022 offence or offence category,2022 recorded cases,2022 clearance rate %,2023 offence or offence category,2023 recorded cases,2023 clearance rate %
714,1223.0,0.0,286.0,1422.0,0.0,371.0,3302.0,0.1,584.0,6412.0,0.1,1905.0,220291.0,4.0,63987.0,218905.0,4.0,63808.0,240575.0,4.5,68940.0,18224.0,0.4,5323.0,899995,16.0,264718,2884.0,0.048546737260311,1259.0
715,0.0,0.0,0.0,1.0,0.0,0.0,1120.0,0.0,198.0,47.0,0.0,9.0,166984.0,3.0,46893.0,165131.0,3.0,46703.0,184806.0,3.5,51432.0,130.0,0.0,27.0,2874,0.1,1249,55.0,0.0009258219657826302,20.0
716,11.0,0.0,2.0,12.0,0.0,3.0,156790.0,2.5,48063.0,5820.0,0.1,1754.0,11411.0,0.2,3336.0,11606.0,0.2,3341.0,12622.0,0.2,3777.0,23897.0,0.5,8380.0,55,0.0,18,2785.0,0.046880257721902276,1063.0
717,3.0,0.0,0.0,1.0,0.0,0.0,136344.0,2.1,41293.0,1176.0,0.0,333.0,17102.0,0.3,5042.0,17426.0,0.3,5186.0,18315.0,0.3,5119.0,21208.0,0.4,7497.0,2800,0.0,1120,94.0,0.001582313905155768,40.0
718,0.0,0.0,0.0,0.0,0.0,0.0,54227.0,0.9,14037.0,216313.0,3.8,62475.0,73.0,0.0,18.0,91.0,0.0,15.0,92.0,0.0,18.0,1094.0,0.0,358.0,102,0.0,38,17.0,0.0002861631530600857,8.0
719,13553.0,0.2,2677.0,12485.0,0.2,2567.0,9088.0,0.1,2826.0,162037.0,2.8,45232.0,24721.0,0.4,8698.0,24651.0,0.5,8563.0,24740.0,0.5,8594.0,1593.0,0.0,523.0,22,0.0,12,15834.0,0.2665357273854939,4916.0
720,948.0,0.0,229.0,941.0,0.0,225.0,73029.0,1.1,24430.0,11097.0,0.2,3264.0,21712.0,0.4,7737.0,21562.0,0.4,7610.0,21871.0,0.4,7682.0,2.0,0.0,2.0,15747,0.3,4945,90.0,0.0015149813985533948,23.0
721,926.0,0.0,226.0,933.0,0.0,221.0,20420.0,0.3,6763.0,16812.0,0.3,5046.0,1251.0,0.0,405.0,1328.0,0.0,409.0,1184.0,0.0,364.0,550613.0,10.9,159368.0,69,0.0,9,68.0,0.0011446526122403428,18.0
722,22.0,0.0,3.0,8.0,0.0,4.0,3455.0,0.1,1250.0,111.0,0.0,19.0,1750.0,0.0,551.0,1749.0,0.0,543.0,1669.0,0.0,546.0,204996.0,4.1,57124.0,57,0.0,15,6.0,0.00010099875990355964,1.0
723,2735.0,0.0,574.0,2661.0,0.0,552.0,781.0,0.0,273.0,26256.0,0.5,8914.0,8.0,0.0,5.0,12.0,0.0,1.0,16.0,0.0,2.0,43209.0,0.9,11021.0,6,0.0,2,1307.0,0.022000896532325412,349.0
