Tabelle: 12241-9000
EU-SILC - Persons covered and persons extrapolated,;;;;;;
equivalised net income, at-risk-of-poverty rate:;;;;;;
Germany, years (until 2019), sex, age groups;;;;;;
Income and living conditions (EU-SILC);;;;;;;;;;
Germany;;;;;;;;;;
;;;Persons covered;;Persons extrapolated;;Equivalised net income (median);;At-risk-of-poverty rate;
;;;number;number;1000;1000;EUR/year;EUR/year;percent;percent
;;18 to under 25 years;728;e;3014;e;17941;e;20.4;e
;;25 to under 50 years;4222;e;14015;e;20441;e;15.3;e
;;50 to under 65 years;3644;e;9064;e;19836;e;20.4;e
;;65 years and over;3009;e;8312;e;17295;e;17.0;e
;;Total;13775;e;40573;e;19067;e;17.2;e
;Total;16 to under 18 years;539;e;1629;e;18364;e;16.7;()
;;18 to under 25 years;1468;e;6191;e;19418;e;18.5;e
;;25 to under 50 years;7958;e;26990;e;20898;e;14.9;e
;;50 to under 65 years;6670;e;16985;e;20611;e;19.4;e
;;65 years and over;6137;e;16099;e;17904;e;14.9;e
;;Total;26709;e;79678;e;19582;e;16.1;e
2014;Male;16 to under 18 years;287;e;927;e;17699;e;14.2;()
;;18 to under 25 years;770;e;3100;e;19556;e;17.4;e
;;25 to under 50 years;3461;e;12931;e;21691;e;15.5;e
;;50 to under 65 years;3166;e;8271;e;22089;e;19.3;e
;;65 years and over;3283;e;7845;e;18941;e;14.0;e
;;Total;12802;e;39307;e;20228;e;15.9;e
;Female;16 to under 18 years;307;e;841;e;19516;e;23.0;()
;;18 to under 25 years;729;e;2873;e;17666;e;24.0;e
;;25 to under 50 years;3949;e;13883;e;20578;e;15.5;e
;;50 to under 65 years;3689;e;9168;e;20889;e;18.2;e
;;65 years and over;3229;e;8411;e;17386;e;18.4;e
;;Total;13697;e;40679;e;19319;e;17.4;e
;Total;16 to under 18 years;594;e;1769;e;18650;e;18.4;e
;;18 to under 25 years;1499;e;5973;e;18583;e;20.6;e
;;25 to under 50 years;7410;e;26814;e;21167;e;15.5;e
;;50 to under 65 years;6855;e;17439;e;21389;e;18.7;e
;;65 years and over;6512;e;16256;e;18181;e;16.3;e
;;Total;26499;e;79986;e;19733;e;16.7;e
2015;Male;16 to under 18 years;296;e;965;e;19763;e;16.5;()
;;18 to under 25 years;781;e;3126;e;20456;e;19.0;e
;;25 to under 50 years;3324;e;12822;e;22710;e;13.9;e
;;50 to under 65 years;3245;e;8449;e;23234;e;20.1;e
;;65 years and over;3286;e;7931;e;19274;e;14.5;e
;;Total;12715;e;39651;e;21194;e;15.9;e
;Female;16 to under 18 years;289;e;801;e;20240;e;11.6;()
;;18 to under 25 years;737;e;2790;e;19419;e;23.4;e
;;25 to under 50 years;3801;e;13860;e;21777;e;15.5;e
;;50 to under 65 years;3780;e;9414;e;21475;e;19.7;e
;;65 years and over;3387;e;8679;e;17918;e;18.3;e
;;Total;13664;e;40906;e;20238;e;17.4;e
;Total;16 to under 18 years;585;e;1766;e;19964;e;14.3;()
;;18 to under 25 years;1518;e;5917;e;19829;e;21.1;e
;;25 to under 50 years;7125;e;26682;e;22197;e;14.7;e
;;50 to under 65 years;7025;e;17863;e;22404;e;19.9;e
;;65 years and over;6673;e;16609;e;18609;e;16.5;e
;;Total;26379;e;80556;e;20668;e;16.7;e
2016;Male;16 to under 18 years;256;e;848;e;19996;e;14.9;()
;;18 to under 25 years;795;e;3291;e;19907;e;18.6;e
