Tabelle: 12711-0001
Total migration across the borders of the Länder: Germany,;;;;;;;;;;;;;;;;;;;;;;;;;;;
years, nationality, sex;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Germans;;;;;;;;;;;;;;;;;;Foreigners;;;;;;;;;;;;;;;;;;Total;;;;;;;;;;;;;;;;;
;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;
;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;
;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
2014;520952;e;534188;e;-13236;e;520433;e;533638;e;-13205;e;1041385;e;1067826;e;-26441;e;933852;e;607977;e;325875;e;600203;e;349154;e;251049;e;1534055;e;957131;e;576924;e;1454804;e;1142165;e;312639;e;1120636;e;882792;e;237844;e;2575440;e;2024957;e;550483;e
2015;510678;e;519196;e;-8518;e;509980;e;519022;e;-9042;e;1020658;e;1038218;e;-17560;e;1439762;e;698820;e;740942;e;802603;e;386583;e;416020;e;2242365;e;1085403;e;1156962;e;1950440;e;1218016;e;732424;e;1312583;e;905605;e;406978;e;3263023;e;2123621;e;1139402;e
2016;534781;e;627272;e;-92491;e;525349;e;568289;e;-42940;e;1060130;e;1195561;e;-135431;e;1240005;e;898977;e;341028;e;754257;e;460061;e;294196;e;1994262;e;1359038;e;635224;e;1774786;e;1526249;e;248537;e;1279606;e;1028350;e;251256;e;3054392;e;2554599;e;499793;e
2017;524506;e;579417;e;-54911;e;505239;e;532806;e;-27567;e;1029745;e;1112223;e;-82478;e;982619;e;729180;e;253439;e;632356;e;387237;e;245119;e;1614975;e;1116417;e;498558;e;1507125;e;1308597;e;198528;e;1137595;e;920043;e;217552;e;2644720;e;2228640;e;416080;e
2018;538725;e;577454;e;-38729;e;510599;e;532190;e;-21591;e;1049324;e;1109644;e;-60320;e;991626;e;761484;e;230142;e;632267;e;402409;e;229858;e;1623893;e;1163893;e;460000;e;1530351;e;1338938;e;191413;e;1142866;e;934599;e;208267;e;2673217;e;2273537;e;399680;e
2019;541878;e;576914;e;-35036;e;509332;e;531921;e;-22589;e;1051210;e;1108835;e;-57625;e;978755;e;795798;e;182957;e;626293;e;424565;e;201728;e;1605048;e;1220363;e;384685;e;1520633;e;1372712;e;147921;e;1135625;e;956486;e;179139;e;2656258;e;2329198;e;327060;e
2020;500367;e;518351;e;-17984;e;482084;e;492456;e;-10372;e;982451;e;1010807;e;-28356;e;752885;e;638306;e;114579;e;482868;e;348840;e;134028;e;1235753;e;987146;e;248607;e;1253252;e;1156657;e;96595;e;964952;e;841296;e;123656;e;2218204;e;1997953;e;220251;e
2021;505492;e;541151;e;-35659;e;490470;e;518990;e;-28520;e;995962;e;1060141;e;-64179;e;834157;e;639986;e;194171;e;557949;e;358778;e;199171;e;1392106;e;998764;e;393342;e;1339649;e;1181137;e;158512;e;1048419;e;877768;e;170651;e;2388068;e;2058905;e;329163;e
2022;490727;e;537250;e;-46523;e;474319;e;511210;e;-36891;e;965046;e;1048460;e;-83414;e;1421049;e;720802;e;700247;e;1348383;e;503127;e;845256;e;2769432;e;1223929;e;1545503;e;1911776;e;1258052;e;653724;e;1822702;e;1014337;e;808365;e;3734478;e;2272389;e;1462089;e
2023;479152;e;521020;e;-41868;e;463182;e;494993;e;-31811;e;942334;e;1016013;e;-73679;e;1213392;e;777185;e;436207;e;811970;e;511534;e;300436;e;2025362;e;1288719;e;736643;e;1692544;e;1298205;e;394339;e;1275152;e;1006527;e;268625;e;2967696;e;2304732;e;662964;e
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:21:12
