Tabelle: 12711-0002
Total migration across the borders of the Länder: Germany,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
years, nationality, sex, age years;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Germans;;;;;;;;;;;;;;;;;;Foreigners;;;;;;;;;;;;;;;;;;Total;;;;;;;;;;;;;;;;;
;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;
;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
;15 years;2622;e;2855;e;-233;e;2628;e;2834;e;-206;e;5250;e;5689;e;-439;e;1776;e;1346;e;430;e;1514;e;1209;e;305;e;3290;e;2555;e;735;e;4398;e;4201;e;197;e;4142;e;4043;e;99;e;8540;e;8244;e;296;e
;16 years;3123;e;3360;e;-237;e;3192;e;3314;e;-122;e;6315;e;6674;e;-359;e;2421;e;1574;e;847;e;2254;e;1618;e;636;e;4675;e;3192;e;1483;e;5544;e;4934;e;610;e;5446;e;4932;e;514;e;10990;e;9866;e;1124;e
;17 years;3796;e;4208;e;-412;e;4030;e;4137;e;-107;e;7826;e;8345;e;-519;e;2646;e;1869;e;777;e;2517;e;1986;e;531;e;5163;e;3855;e;1308;e;6442;e;6077;e;365;e;6547;e;6123;e;424;e;12989;e;12200;e;789;e
;18 years;6264;e;6308;e;-44;e;8653;e;8599;e;54;e;14917;e;14907;e;10;e;4471;e;3230;e;1241;e;4485;e;3160;e;1325;e;8956;e;6390;e;2566;e;10735;e;9538;e;1197;e;13138;e;11759;e;1379;e;23873;e;21297;e;2576;e
;19 years;10182;e;10077;e;105;e;16880;e;16876;e;4;e;27062;e;26953;e;109;e;8150;e;5326;e;2824;e;8417;e;5124;e;3293;e;16567;e;10450;e;6117;e;18332;e;15403;e;2929;e;25297;e;22000;e;3297;e;43629;e;37403;e;6226;e
;20 years;17304;e;17299;e;5;e;24823;e;25064;e;-241;e;42127;e;42363;e;-236;e;11258;e;7646;e;3612;e;12043;e;7149;e;4894;e;23301;e;14795;e;8506;e;28562;e;24945;e;3617;e;36866;e;32213;e;4653;e;65428;e;57158;e;8270;e
;21 years;20534;e;20777;e;-243;e;24648;e;25125;e;-477;e;45182;e;45902;e;-720;e;13572;e;10102;e;3470;e;14082;e;9901;e;4181;e;27654;e;20003;e;7651;e;34106;e;30879;e;3227;e;38730;e;35026;e;3704;e;72836;e;65905;e;6931;e
;22 years;18953;e;19265;e;-312;e;22877;e;23541;e;-664;e;41830;e;42806;e;-976;e;14748;e;11295;e;3453;e;15034;e;11356;e;3678;e;29782;e;22651;e;7131;e;33701;e;30560;e;3141;e;37911;e;34897;e;3014;e;71612;e;65457;e;6155;e
;23 years;19038;e;19513;e;-475;e;22802;e;23588;e;-786;e;41840;e;43101;e;-1261;e;15979;e;12445;e;3534;e;14748;e;11912;e;2836;e;30727;e;24357;e;6370;e;35017;e;31958;e;3059;e;37550;e;35500;e;2050;e;72567;e;67458;e;5109;e
;24 years;19685;e;20284;e;-599;e;23005;e;23938;e;-933;e;42690;e;44222;e;-1532;e;16062;e;13483;e;2579;e;14072;e;12046;e;2026;e;30134;e;25529;e;4605;e;35747;e;33767;e;1980;e;37077;e;35984;e;1093;e;72824;e;69751;e;3073;e
;25 years;20594;e;21300;e;-706;e;23597;e;24944;e;-1347;e;44191;e;46244;e;-2053;e;15841;e;14133;e;1708;e;12507;e;11299;e;1208;e;28348;e;25432;e;2916;e;36435;e;35433;e;1002;e;36104;e;36243;e;-139;e;72539;e;71676;e;863;e
;26 years;21795;e;22822;e;-1027;e;23718;e;25328;e;-1610;e;45513;e;48150;e;-2637;e;16177;e;15009;e;1168;e;11661;e;10755;e;906;e;27838;e;25764;e;2074;e;37972;e;37831;e;141;e;35379;e;36083;e;-704;e;73351;e;73914;e;-563;e
;27 years;20973;e;22179;e;-1206;e;21738;e;23319;e;-1581;e;42711;e;45498;e;-2787;e;15492;e;14629;e;863;e;10541;e;10044;e;497;e;26033;e;24673;e;1360;e;36465;e;36808;e;-343;e;32279;e;33363;e;-1084;e;68744;e;70171;e;-1427;e
;28 years;20372;e;21760;e;-1388;e;19331;e;20881;e;-1550;e;39703;e;42641;e;-2938;e;15611;e;15063;e;548;e;9958;e;9572;e;386;e;25569;e;24635;e;934;e;35983;e;36823;e;-840;e;29289;e;30453;e;-1164;e;65272;e;67276;e;-2004;e
;29 years;17868;e;19109;e;-1241;e;16292;e;17641;e;-1349;e;34160;e;36750;e;-2590;e;14375;e;14611;e;-236;e;9243;e;8851;e;392;e;23618;e;23462;e;156;e;32243;e;33720;e;-1477;e;25535;e;26492;e;-957;e;57778;e;60212;e;-2434;e
;30 years;16381;e;17688;e;-1307;e;14380;e;15690;e;-1310;e;30761;e;33378;e;-2617;e;13860;e;14433;e;-573;e;8429;e;8472;e;-43;e;22289;e;22905;e;-616;e;30241;e;32121;e;-1880;e;22809;e;24162;e;-1353;e;53050;e;56283;e;-3233;e
;31 years;14869;e;16057;e;-1188;e;12426;e;13528;e;-1102;e;27295;e;29585;e;-2290;e;13104;e;13781;e;-677;e;7769;e;7763;e;6;e;20873;e;21544;e;-671;e;27973;e;29838;e;-1865;e;20195;e;21291;e;-1096;e;48168;e;51129;e;-2961;e
;32 years;13044;e;14157;e;-1113;e;10649;e;11620;e;-971;e;23693;e;25777;e;-2084;e;12777;e;13805;e;-1028;e;7231;e;7162;e;69;e;20008;e;20967;e;-959;e;25821;e;27962;e;-2141;e;17880;e;18782;e;-902;e;43701;e;46744;e;-3043;e
;33 years;11299;e;12305;e;-1006;e;8932;e;9683;e;-751;e;20231;e;21988;e;-1757;e;12223;e;13157;e;-934;e;6611;e;6751;e;-140;e;18834;e;19908;e;-1074;e;23522;e;25462;e;-1940;e;15543;e;16434;e;-891;e;39065;e;41896;e;-2831;e
;34 years;10392;e;11235;e;-843;e;8189;e;8902;e;-713;e;18581;e;20137;e;-1556;e;11600;e;12789;e;-1189;e;6117;e;6214;e;-97;e;17717;e;19003;e;-1286;e;21992;e;24024;e;-2032;e;14306;e;15116;e;-810;e;36298;e;39140;e;-2842;e
;35 years;9222;e;10117;e;-895;e;7191;e;7836;e;-645;e;16413;e;17953;e;-1540;e;10770;e;11885;e;-1115;e;5594;e;5647;e;-53;e;16364;e;17532;e;-1168;e;19992;e;22002;e;-2010;e;12785;e;13483;e;-698;e;32777;e;35485;e;-2708;e
;36 years;9342;e;10229;e;-887;e;7068;e;7709;e;-641;e;16410;e;17938;e;-1528;e;10262;e;11600;e;-1338;e;5195;e;5271;e;-76;e;15457;e;16871;e;-1414;e;19604;e;21829;e;-2225;e;12263;e;12980;e;-717;e;31867;e;34809;e;-2942;e
