Tabelle: 12521-0002
Foreigners: Germany, reference date, sex/age years/marital;;;;
status, country groups/citizenship;;;;
Statistics of foreigners;;;;;;;
Germany;;;;;;;
Foreigners (number);;;;;;;
;;Sex;;;;;
;;Male;;Female;;Total;
;EU-25 third countries (until 2006-12-31);2657118;e;2331823;e;4988941;e
;EU-15 (until 2004-04-30);1031632;e;830434;e;1862066;e
;EU-15 third countries (until 2004-04-30);2895132;e;2578394;e;5473526;e
;EC-12 (until 1994-12-31);915378;e;722108;e;1637486;e
;EC-12 third countries (until 1994-12-31);3011386;e;2686720;e;5698106;e
;EC-10 (until 1985-12-31);775854;e;602732;e;1378586;e
;EC-10 third countries (until 1985-12-31);3150910;e;2806096;e;5957006;e
;EC-9 (until 1980-12-31);579288;e;439937;e;1019225;e
;EC-9 third countries (until 1980-12-31);3347476;e;2968891;e;6316367;e
;EEC-6 (until 1972-12-31);493980;e;375849;e;869829;e
;EEC-6 third countries (until 1972-12-31);3432784;e;3032979;e;6465763;e
;Africa;195791;e;111487;e;307278;e
;North Africa;91192;e;47826;e;139018;e
;West Africa;54731;e;24040;e;78771;e
;Central Africa;20892;e;12483;e;33375;e
;East Africa;18403;e;19112;e;37515;e
;Southern Africa;10573;e;8026;e;18599;e
;America;105756;e;118056;e;223812;e
;North America;71555;e;54548;e;126103;e
;Central America and Caribbean;10431;e;17126;e;27557;e
;South America;23770;e;46382;e;70152;e
;Asia;480835;e;418050;e;898885;e
;South West Asia;187490;e;124348;e;311838;e
;South and South East Asia;150712;e;153910;e;304622;e
;East and Central Asia;142633;e;139792;e;282425;e
;Australia and Oceania;6434;e;5402;e;11836;e
;Countries of origin of foreign workers;2363994;e;1945387;e;4309381;e
;Territory of former Yugoslavia;569039;e;496047;e;1065086;e
;Territory of former Serbia and Montenegro;-;;-;;-;
;Territory of the former Soviet Union;197102;e;260935;e;458037;e
;Territory of former Czechoslovakia;27960;e;35659;e;63619;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2003-12-31;Total;3894781;e;3439984;e;7334765;e
;videlicet:;;;;;;
;Europe;3060561;e;2739556;e;5800117;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1446297;e;1270667;e;2716964;e
;EU-28 third countries (until 2020-01-31);2448484;e;2169317;e;4617801;e
;EU-27 (until 2013-06-30);1327514;e;1152880;e;2480394;e
;EU-27 third countries (until 2013-06-30);2567267;e;2287104;e;4854371;e
;EU-25 (until 2006-12-31);1262359;e;1084631;e;2346990;e
;EU-25 third countries (until 2006-12-31);2632422;e;2355353;e;4987775;e
;EU-15 (until 2004-04-30);1023111;e;826875;e;1849986;e
;EU-15 third countries (until 2004-04-30);2871670;e;2613109;e;5484779;e
;EC-12 (until 1994-12-31);907189;e;718179;e;1625368;e
;EC-12 third countries (until 1994-12-31);2987592;e;2721805;e;5709397;e
;EC-10 (until 1985-12-31);769413;e;599355;e;1368768;e
;EC-10 third countries (until 1985-12-31);3125368;e;2840629;e;5965997;e
;EC-9 (until 1980-12-31);575646;e;438492;e;1014138;e
;EC-9 third countries (until 1980-12-31);3319135;e;3001492;e;6320627;e
;EEC-6 (until 1972-12-31);490798;e;374990;e;865788;e
;EEC-6 third countries (until 1972-12-31);3403983;e;3064994;e;6468977;e
;Africa;195084;e;114742;e;309826;e
;North Africa;90619;e;48100;e;138719;e
