observation_date,CPALTT01DEM659N
1989-03-01,2.52747199999999994
1989-04-01,2.96052600000000021
1989-05-01,2.84463899999999992
1989-06-01,2.84153000000000011
1989-07-01,2.73224000000000000
1989-08-01,2.84463899999999992
1989-09-01,2.84153000000000011
1989-10-01,3.05676900000000007
1989-11-01,2.93797599999999992
1989-12-01,3.04017400000000038
1990-01-01,2.69106600000000018
1990-02-01,2.78969999999999985
1990-03-01,2.67952799999999991
1990-04-01,2.23642200000000013
1990-05-01,2.34042500000000020
1990-06-01,2.33793800000000029
1990-07-01,2.44680900000000001
1990-08-01,2.76595700000000022
1990-09-01,2.97555800000000037
1990-10-01,3.38983099999999959
1990-11-01,2.95983100000000032
1990-12-01,2.73972599999999966
1991-01-01,2.83018899999999984
1991-02-01,2.84865199999999996
1991-03-01,2.84865199999999996
1991-04-01,3.08126800000000012
1991-05-01,3.16426500000000033
1991-06-01,3.65112699999999979
1991-07-01,4.83910499999999999
1991-08-01,4.51351800000000036
1991-09-01,4.18994700000000009
1991-10-01,5.05439599999999967
1991-11-01,5.71057399999999937
1991-12-01,5.74882300000000068
1992-01-01,5.68513100000000016
1992-02-01,5.80551499999999976
1992-03-01,6.24092900000000039
1992-04-01,6.21387300000000042
1992-05-01,6.19596500000000017
1992-06-01,5.87392599999999998
1992-07-01,4.95750699999999966
1992-08-01,4.95750699999999966
1992-09-01,4.95750699999999966
1992-10-01,3.34728000000000048
1992-11-01,3.33333300000000010
1992-12-01,3.32871000000000006
1993-01-01,4.55172400000000010
1993-02-01,4.80109700000000039
1993-03-01,4.64480899999999952
1993-04-01,4.48979600000000012
1993-05-01,4.34192700000000009
1993-06-01,4.33017599999999980
1993-07-01,4.58839400000000008
1993-08-01,4.58839400000000008
1993-09-01,4.45344100000000065
1993-10-01,4.45344100000000065
1993-11-01,4.16666699999999945
1993-12-01,4.29530199999999951
1994-01-01,3.03430099999999969
1994-02-01,3.01047099999999990
1994-03-01,2.87206300000000025
1994-04-01,2.73437500000000000
1994-05-01,2.86085800000000035
1994-06-01,2.72373500000000002
1994-07-01,2.45161300000000004
1994-08-01,2.70967700000000011
1994-09-01,2.58397899999999980
1994-10-01,2.45477999999999996
1994-11-01,2.45161300000000004
1994-12-01,2.44530199999999986
1995-01-01,2.30473799999999995
1995-02-01,2.03303700000000021
1995-03-01,1.90355300000000005
1995-04-01,1.90114099999999997
1995-05-01,1.64348899999999998
1995-06-01,1.64141399999999993
1995-07-01,1.63727999999999985
1995-08-01,1.38190900000000005
1995-09-01,1.63727999999999985
1995-10-01,1.51324100000000006
1995-11-01,1.38538999999999990
1995-12-01,1.50753799999999982
1996-01-01,1.37672100000000008
1996-02-01,1.49439599999999984
1996-03-01,1.49439599999999984
1996-04-01,1.36815899999999990
1996-05-01,1.49253700000000000
1996-06-01,1.49068299999999998
1996-07-01,1.36307299999999998
1996-08-01,1.36307299999999998
1996-09-01,1.36307299999999998
1996-10-01,1.61490700000000009
1996-11-01,1.49068299999999998
1996-12-01,1.48514900000000005
1997-01-01,2.09876500000000021
1997-02-01,1.59509199999999995
1997-03-01,1.59509199999999995
1997-04-01,1.47239300000000006
1997-05-01,1.59313700000000003
1997-06-01,1.59118699999999991
1997-07-01,2.32273800000000019
1997-08-01,2.44498799999999994
1997-09-01,2.20048900000000014
1997-10-01,2.07824000000000009
1997-11-01,2.20318199999999997
1997-12-01,2.07317099999999988
1998-01-01,1.20918999999999999
1998-02-01,1.32850200000000007
1998-03-01,1.20772900000000005
1998-04-01,1.45102799999999998
1998-05-01,1.32689999999999997
1998-06-01,1.32530100000000006
