Tabelle: 12611-0002
Marriages, marriages per 1000 inhabitants: Germany, months;;;
Statistics of marriages;;;;;
Germany;;;;;
Year;Month;Marriages;;Marriages per 1000 inhabitants;
;;number;number;number;number
;March;16871;e;2.4;e
;April;21831;e;3.2;e
;May;43771;e;6.3;e
;June;37078;e;5.5;e
;July;37453;e;5.4;e
;August;69578;e;10.0;e
;September;36138;e;5.4;e
;October;30974;e;4.4;e
;November;19518;e;2.9;e
;December;41320;e;5.9;e
2009;January;8358;e;1.2;e
;February;12759;e;2.0;e
;March;16862;e;2.4;e
;April;24461;e;3.6;e
;May;43693;e;6.3;e
;June;40805;e;6.1;e
;July;44291;e;6.4;e
;August;49323;e;7.1;e
;September;47431;e;7.1;e
;October;31433;e;4.5;e
;November;19382;e;2.9;e
;December;39641;e;5.7;e
2010;January;9041;e;1.3;e
;February;12032;e;1.9;e
;March;17523;e;2.5;e
;April;24330;e;3.6;e
;May;44831;e;6.5;e
;June;41005;e;6.1;e
;July;50117;e;7.2;e
;August;47664;e;6.9;e
;September;40270;e;6.0;e
;October;39322;e;5.7;e
;November;19040;e;2.8;e
;December;36872;e;5.3;e
2011;January;8696;e;1.3;e
;February;12143;e;1.9;e
;March;15427;e;2.2;e
;April;24696;e;3.7;e
;May;39379;e;5.7;e
;June;46844;e;7.0;e
;July;49787;e;7.2;e
;August;45562;e;6.6;e
;September;43135;e;6.4;e
;October;27658;e;4.0;e
;November;27726;e;4.1;e
;December;36763;e;5.3;e
2012;January;8274;e;1.2;e
;February;12909;e;2.0;e
;March;18338;e;2.7;e
;April;24679;e;3.7;e
;May;43722;e;6.4;e
;June;48659;e;7.4;e
;July;42337;e;6.2;e
;August;51461;e;7.5;e
;September;40730;e;6.2;e
;October;29844;e;4.4;e
;November;20264;e;3.1;e
;December;46206;e;6.8;e
2013;January;7870;e;1.2;e
;February;10756;e;1.7;e
;March;20295;e;3.0;e
;April;22201;e;3.4;e
;May;45979;e;6.7;e
;June;41571;e;6.3;e
;July;42900;e;6.3;e
;August;52715;e;7.7;e
;September;41153;e;6.2;e
;October;31315;e;4.6;e
;November;19256;e;2.9;e
;December;37644;e;5.5;e
2014;January;8865;e;1.3;e
;February;13673;e;2.2;e
;March;15765;e;2.3;e
;April;29053;e;4.4;e
;May;44255;e;6.4;e
;June;44413;e;6.7;e
;July;44369;e;6.5;e
;August;55816;e;8.1;e
;September;40373;e;6.1;e
;October;32762;e;4.8;e
;November;19780;e;3.0;e
;December;36828;e;5.3;e
2015;January;9459;e;1.4;e
;February;12685;e;2.0;e
;March;17993;e;2.6;e
;April;25497;e;3.8;e
;May;53445;e;7.7;e
;June;42732;e;6.4;e
;July;48285;e;7.0;e
;August;51977;e;7.5;e
;September;42962;e;6.4;e
;October;36002;e;5.2;e
;November;20884;e;3.1;e
;December;38194;e;5.5;e
2016;January;9764;e;1.4;e
;February;13220;e;2.0;e
;March;18058;e;2.6;e
;April;27821;e;4.1;e
;May;44506;e;6.4;e
;June;51559;e;7.6;e
;July;51986;e;7.4;e
;August;50046;e;7.2;e
;September;49480;e;7.3;e
;October;33613;e;4.8;e
;November;21201;e;3.1;e
;December;39172;e;5.6;e
2017;January;9589;e;1.4;e
;February;12557;e;2.0;e
;March;19852;e;2.8;e
;April;25005;e;3.7;e
;May;42678;e;6.1;e
;June;47592;e;7.0;e
;July;58887;e;8.4;e
;August;48858;e;7.0;e
;September;50239;e;7.4;e
;October;33148;e;4.7;e
;November;21898;e;3.2;e
;December;37163;e;5.3;e
2018;January;12090;e;1.7;e
;February;14528;e;2.3;e
;March;21678;e;3.1;e
;April;27928;e;4.1;e
;May;47722;e;6.8;e
;June;51941;e;7.6;e
;July;47809;e;6.8;e
;August;68388;e;9.7;e
;September;47982;e;7.0;e
;October;40373;e;5.7;e
;November;28409;e;4.2;e
;December;40618;e;5.8;e
2019;January;10776;e;1.5;e
;February;14260;e;2.2;e
;March;20307;e;2.9;e
;April;27262;e;4.0;e
;May;48400;e;6.9;e
;June;48089;e;7.0;e
;July;45734;e;6.5;e
;August;53412;e;7.6;e
;September;51429;e;7.5;e
;October;37545;e;5.3;e
;November;24352;e;3.6;e
;December;34758;e;4.9;e
2020;January;10952;e;1.6;e
;February;21483;e;3.3;e
;March;17905;e;2.5;e
;April;17058;e;2.5;e
;May;33182;e;4.7;e
;June;39824;e;5.8;e
;July;43637;e;6.2;e
;August;49529;e;7.0;e
;September;44118;e;6.5;e
;October;42491;e;6.0;e
;November;20354;e;3.0;e
;December;32771;e;4.6;e
2021;January;9057;e;1.3;e
;February;12210;e;1.9;e
;March;16679;e;2.4;e
;April;21943;e;3.2;e
;May;35407;e;5.0;e
;June;38235;e;5.6;e
;July;48518;e;6.9;e
;August;48490;e;6.9;e
;September;42888;e;6.3;e
;October;33906;e;4.8;e
;November;19755;e;2.9;e
;December;30697;e;4.3;e
2022;January;8854;e;1.3;e
;February;22532;e;3.5;e
;March;16801;e;2.4;e
;April;27427;e;4.0;e
;May;41670;e;5.8;e
;June;45098;e;6.5;e
;July;51058;e;7.1;e
;August;46192;e;6.5;e
;September;48394;e;7.0;e
;October;31030;e;4.3;e
;November;21512;e;3.1;e
;December;30175;e;4.2;e
2023;January;8870;e;1.2;e
;February;11616;e;1.8;e
;March;22960;e;3.2;e
;April;22510;e;3.2;e
;May;40863;e;5.7;e
;June;47850;e;6.9;e
;July;42074;e;5.9;e
;August;42451;e;5.9;e
;September;46012;e;6.6;e
;October;29816;e;4.1;e
;November;18959;e;2.7;e
;December;26998;e;3.8;e
2024;January;8510;p;1.2;p
;February;13660;p;2.0;p
;March;15726;p;2.2;p
;April;28796;p;4.1;p
;May;42841;p;6.0;p
;June;41927;p;6.0;p
;July;36913;p;5.1;p
;August;46545;p;6.5;p
;September;39369;p;5.7;p
;October;...;;...;
;November;...;;...;
;December;...;;...;
__________
"Marriages per 1000 inhabitants:
From 2012: Results based on the 2011 Census.

From January 2018: 
Including marriages of persons of the same sex."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-12-18 / 21:43:58
