Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
WZ08-B-14;Coal mining, extr. of crude petroleum,natural gas;2010;January;83.2;e;84.3;e;83.3;e;84.0;e;100.0;e;39.2;e
;;;February;83.2;e;75.7;e;83.3;e;75.8;e;100.0;e;39.2;e
;;;March;83.3;e;75.7;e;83.3;e;75.8;e;100.0;e;39.2;e
;;;April;83.3;e;77.8;e;83.3;e;77.8;e;100.0;e;39.2;e
;;;May;83.3;e;76.3;e;83.3;e;76.3;e;100.0;e;39.2;e
;;;June;83.5;e;85.6;e;83.5;e;85.8;e;100.0;e;39.2;e
;;;July;83.5;e;75.9;e;83.5;e;76.0;e;100.0;e;39.2;e
;;;August;83.5;e;75.9;e;83.5;e;76.0;e;100.0;e;39.2;e
;;;September;83.5;e;75.9;e;83.5;e;76.0;e;100.0;e;39.2;e
;;;October;83.5;e;78.9;e;83.5;e;78.9;e;100.0;e;39.2;e
;;;November;83.6;e;152.6;e;83.6;e;152.7;e;100.0;e;39.2;e
;;;December;83.6;e;76.0;e;83.6;e;76.1;e;100.0;e;39.2;e
;;2011;January;84.3;e;76.7;e;84.3;e;76.7;e;100.0;e;39.2;e
;;;February;84.3;e;76.7;e;84.3;e;76.7;e;100.0;e;39.2;e
;;;March;84.3;e;90.3;e;84.3;e;90.6;e;100.0;e;39.2;e
;;;April;86.1;e;80.4;e;86.1;e;80.4;e;100.0;e;39.2;e
;;;May;86.1;e;78.8;e;86.1;e;78.8;e;100.0;e;39.2;e
;;;June;86.1;e;88.1;e;86.1;e;88.3;e;100.0;e;39.2;e
;;;July;86.2;e;78.4;e;86.2;e;78.5;e;100.0;e;39.2;e
;;;August;86.2;e;78.4;e;86.2;e;78.5;e;100.0;e;39.2;e
;;;September;86.2;e;78.4;e;86.2;e;78.5;e;100.0;e;39.2;e
;;;October;86.3;e;81.6;e;86.3;e;81.6;e;100.0;e;39.2;e
;;;November;86.3;e;156.1;e;86.3;e;156.1;e;100.0;e;39.2;e
;;;December;86.3;e;78.5;e;86.3;e;78.6;e;100.0;e;39.2;e
;;2012;January;86.3;e;78.5;e;86.3;e;78.6;e;100.0;e;39.2;e
;;;February;87.0;e;79.1;e;86.9;e;79.1;e;100.0;e;39.2;e
;;;March;87.0;e;79.1;e;86.9;e;79.1;e;100.0;e;39.2;e
;;;April;87.0;e;81.2;e;86.9;e;81.2;e;100.0;e;39.2;e
;;;May;87.0;e;79.6;e;86.9;e;79.5;e;100.0;e;39.2;e
;;;June;87.0;e;89.1;e;87.0;e;89.2;e;100.0;e;39.2;e
;;;July;87.0;e;79.1;e;87.0;e;79.1;e;100.0;e;39.2;e
;;;August;87.0;e;79.1;e;87.0;e;79.1;e;100.0;e;39.2;e
;;;September;87.0;e;79.8;e;87.0;e;79.8;e;100.0;e;39.2;e
;;;October;87.0;e;82.3;e;87.0;e;82.2;e;100.0;e;39.2;e
;;;November;87.0;e;157.5;e;87.0;e;157.4;e;100.0;e;39.2;e
;;;December;87.0;e;79.1;e;87.0;e;79.1;e;100.0;e;39.2;e
;;2013;January;87.2;e;79.2;e;87.2;e;79.2;e;100.0;e;39.2;e
;;;February;87.2;e;79.2;e;87.2;e;79.2;e;100.0;e;39.2;e
;;;March;87.2;e;93.6;e;87.2;e;94.0;e;100.0;e;39.2;e
;;;April;89.1;e;83.8;e;89.2;e;83.8;e;100.0;e;39.2;e
;;;May;89.8;e;83.4;e;89.8;e;83.4;e;100.0;e;39.2;e
;;;June;89.8;e;91.7;e;89.8;e;91.8;e;100.0;e;39.2;e
;;;July;89.8;e;81.7;e;89.8;e;81.7;e;100.0;e;39.2;e
;;;August;89.8;e;81.7;e;89.8;e;81.7;e;100.0;e;39.2;e
;;;September;89.8;e;81.7;e;89.8;e;81.7;e;100.0;e;39.2;e
;;;October;89.8;e;84.9;e;89.8;e;84.8;e;100.0;e;39.2;e
;;;November;89.8;e;160.8;e;89.9;e;160.8;e;100.0;e;39.2;e
;;;December;89.8;e;81.9;e;89.9;e;81.9;e;100.0;e;39.2;e
;;2014;January;89.8;e;81.8;e;89.9;e;81.8;e;100.0;e;39.2;e
;;;February;89.8;e;81.9;e;89.9;e;81.9;e;100.0;e;39.2;e
;;;March;89.8;e;81.8;e;89.9;e;81.8;e;100.0;e;39.2;e
;;;April;90.5;e;84.8;e;90.4;e;84.7;e;100.0;e;39.2;e
;;;May;90.5;e;82.6;e;90.4;e;82.6;e;100.0;e;39.2;e
;;;June;90.5;e;92.4;e;90.4;e;92.5;e;100.0;e;39.2;e
;;;July;90.5;e;82.3;e;90.4;e;82.3;e;100.0;e;39.2;e
;;;August;90.5;e;82.3;e;90.4;e;82.3;e;100.0;e;39.2;e
;;;September;90.5;e;82.3;e;90.4;e;82.3;e;100.0;e;39.2;e
;;;October;90.5;e;85.5;e;90.4;e;85.5;e;100.0;e;39.2;e
;;;November;90.5;e;161.9;e;90.4;e;161.8;e;100.0;e;39.2;e
;;;December;90.5;e;82.3;e;90.4;e;82.3;e;100.0;e;39.2;e
;;2015;January;90.5;e;83.9;e;90.5;e;83.9;e;100.0;e;38.9;e
;;;February;90.8;e;84.2;e;90.8;e;84.2;e;100.0;e;38.9;e
;;;March;90.8;e;92.4;e;90.8;e;92.4;e;100.0;e;38.9;e
;;;April;91.2;e;86.0;e;91.2;e;86.0;e;100.0;e;38.9;e
;;;May;93.0;e;87.4;e;93.0;e;87.4;e;100.0;e;38.9;e
;;;June;93.0;e;91.8;e;93.0;e;91.8;e;100.0;e;38.9;e
;;;July;93.1;e;86.3;e;93.1;e;86.3;e;100.0;e;38.9;e
;;;August;93.1;e;86.3;e;93.1;e;86.3;e;100.0;e;38.9;e
;;;September;93.2;e;86.5;e;93.2;e;86.5;e;100.0;e;38.9;e
;;;October;93.2;e;91.3;e;93.2;e;91.3;e;100.0;e;38.9;e
;;;November;93.2;e;150.0;e;93.2;e;150.0;e;100.0;e;38.9;e
;;;December;93.3;e;86.4;e;93.3;e;86.4;e;100.0;e;38.9;e
;;2016;January;93.3;e;86.9;e;93.3;e;86.9;e;100.0;e;38.9;e
;;;February;93.3;e;86.7;e;93.3;e;86.7;e;100.0;e;38.9;e
;;;March;93.3;e;86.5;e;93.3;e;86.5;e;100.0;e;38.9;e
;;;April;93.3;e;88.9;e;93.3;e;88.9;e;100.0;e;38.9;e
;;;May;93.4;e;87.9;e;93.4;e;87.9;e;100.0;e;38.9;e
;;;June;93.4;e;91.0;e;93.4;e;91.0;e;100.0;e;38.9;e
;;;July;93.4;e;86.6;e;93.4;e;86.6;e;100.0;e;38.9;e
;;;August;93.4;e;86.6;e;93.4;e;86.6;e;100.0;e;38.9;e
;;;September;93.4;e;86.6;e;93.4;e;86.6;e;100.0;e;38.9;e
;;;October;93.4;e;91.5;e;93.4;e;91.5;e;100.0;e;38.9;e
;;;November;93.4;e;150.4;e;93.4;e;150.4;e;100.0;e;38.9;e
;;;December;93.9;e;92.9;e;93.9;e;92.9;e;100.0;e;38.9;e
;;2017;January;94.1;e;87.1;e;94.1;e;87.1;e;100.0;e;38.9;e
;;;February;94.1;e;87.3;e;94.1;e;87.3;e;100.0;e;38.9;e
;;;March;94.1;e;95.5;e;94.1;e;95.5;e;100.0;e;38.9;e
;;;April;94.1;e;90.9;e;94.1;e;90.9;e;100.0;e;38.9;e
;;;May;95.9;e;90.2;e;95.9;e;90.2;e;100.0;e;38.9;e
;;;June;95.9;e;93.3;e;95.9;e;93.3;e;100.0;e;38.9;e
;;;July;96.1;e;89.2;e;96.1;e;89.2;e;100.0;e;38.9;e
;;;August;96.1;e;89.1;e;96.1;e;89.1;e;100.0;e;38.9;e
;;;September;96.1;e;89.1;e;96.1;e;89.1;e;100.0;e;38.9;e
;;;October;96.1;e;94.0;e;96.1;e;94.0;e;100.0;e;38.9;e
;;;November;96.1;e;154.3;e;96.1;e;154.3;e;100.0;e;38.9;e
;;;December;96.1;e;89.1;e;96.1;e;89.1;e;100.0;e;38.9;e
;;2018;January;96.1;e;89.1;e;96.1;e;89.1;e;100.0;e;38.9;e
;;;February;96.1;e;89.1;e;96.1;e;89.1;e;100.0;e;38.9;e
;;;March;96.3;e;89.4;e;96.3;e;89.4;e;100.0;e;38.9;e
;;;April;96.4;e;92.2;e;96.4;e;92.2;e;100.0;e;38.9;e
;;;May;96.4;e;90.7;e;96.4;e;90.7;e;100.0;e;38.9;e
;;;June;96.4;e;93.9;e;96.4;e;93.9;e;100.0;e;38.9;e
;;;July;96.4;e;89.3;e;96.4;e;89.3;e;100.0;e;38.9;e
;;;August;96.6;e;89.5;e;96.6;e;89.5;e;100.0;e;38.9;e
;;;September;96.6;e;89.5;e;96.6;e;89.5;e;100.0;e;38.9;e
;;;October;96.6;e;94.5;e;96.6;e;94.5;e;100.0;e;38.9;e
;;;November;96.6;e;154.6;e;96.6;e;154.6;e;100.0;e;38.9;e
;;;December;97.3;e;91.6;e;97.3;e;91.6;e;100.0;e;38.9;e
;;2019;January;97.4;e;90.4;e;97.4;e;90.4;e;100.0;e;38.9;e
;;;February;97.4;e;90.3;e;97.4;e;90.3;e;100.0;e;38.9;e
;;;March;97.4;e;90.3;e;97.4;e;90.3;e;100.0;e;38.9;e
;;;April;99.0;e;94.3;e;99.0;e;94.3;e;100.0;e;38.9;e
;;;May;99.0;e;93.1;e;99.0;e;93.1;e;100.0;e;38.9;e
;;;June;99.3;e;97.2;e;99.3;e;97.2;e;100.0;e;38.9;e
;;;July;99.3;e;91.9;e;99.3;e;91.9;e;100.0;e;38.9;e
;;;August;99.4;e;92.1;e;99.4;e;92.1;e;100.0;e;38.9;e
;;;September;99.4;e;92.0;e;99.4;e;92.0;e;100.0;e;38.9;e
;;;October;99.5;e;97.3;e;99.5;e;97.3;e;100.0;e;38.9;e
;;;November;99.5;e;158.5;e;99.5;e;158.5;e;100.0;e;38.9;e
;;;December;99.5;e;92.2;e;99.5;e;92.2;e;100.0;e;38.9;e
;;2020;January;99.5;e;91.6;e;99.5;e;91.6;e;100.0;e;38.8;e
;;;February;99.5;e;91.6;e;99.5;e;91.6;e;100.0;e;38.8;e
;;;March;99.8;e;91.9;e;99.8;e;91.9;e;100.0;e;38.8;e
;;;April;100.0;e;96.1;e;100.0;e;96.1;e;100.0;e;38.8;e
;;;May;100.1;e;94.7;e;100.1;e;94.7;e;100.0;e;38.8;e
;;;June;100.1;e;108.7;e;100.1;e;108.7;e;100.0;e;38.8;e
;;;July;100.1;e;92.2;e;100.1;e;92.2;e;100.0;e;38.8;e
;;;August;100.2;e;92.4;e;100.2;e;92.4;e;100.0;e;38.8;e
;;;September;100.2;e;92.3;e;100.2;e;92.3;e;100.0;e;38.8;e
;;;October;100.2;e;106.1;e;100.2;e;106.1;e;100.0;e;38.8;e
;;;November;100.2;e;150.1;e;100.2;e;150.1;e;100.0;e;38.8;e
;;;December;100.2;e;92.3;e;100.2;e;92.3;e;100.0;e;38.8;e
;;2021;January;101.3;e;93.3;e;101.3;e;93.3;e;100.0;e;38.8;e
;;;February;101.3;e;93.3;e;101.3;e;93.3;e;100.0;e;38.8;e
;;;March;101.8;e;94.7;e;101.8;e;94.7;e;100.0;e;38.8;e
;;;April;101.8;e;96.2;e;101.8;e;96.2;e;100.0;e;38.8;e
;;;May;101.8;e;96.3;e;101.8;e;96.3;e;100.0;e;38.8;e
;;;June;101.8;e;110.4;e;101.8;e;110.4;e;100.0;e;38.8;e
;;;July;101.8;e;93.8;e;101.8;e;93.8;e;100.0;e;38.8;e
;;;August;101.8;e;93.8;e;101.8;e;93.8;e;100.0;e;38.8;e
;;;September;101.8;e;93.8;e;101.8;e;93.8;e;100.0;e;38.8;e
;;;October;101.8;e;107.6;e;101.8;e;107.6;e;100.0;e;38.8;e
;;;November;101.8;e;152.2;e;101.8;e;152.2;e;100.0;e;38.8;e
;;;December;101.8;e;93.8;e;101.8;e;93.8;e;100.0;e;38.8;e
;;2022;January;101.8;e;93.8;e;101.8;e;93.8;e;100.0;e;38.8;e
;;;February;101.8;e;93.8;e;101.8;e;93.8;e;100.0;e;38.8;e
;;;March;103.2;e;108.4;e;103.2;e;108.4;e;100.0;e;38.8;e
;;;April;103.6;e;98.9;e;103.6;e;98.9;e;100.0;e;38.8;e
;;;May;104.1;e;98.4;e;104.1;e;98.4;e;100.0;e;38.8;e
;;;June;104.1;e;112.7;e;104.1;e;112.7;e;100.0;e;38.8;e
;;;July;104.4;e;96.2;e;104.3;e;96.1;e;99.9;e;38.7;e
;;;August;104.4;e;96.2;e;104.3;e;96.1;e;99.9;e;38.7;e
;;;September;104.8;e;97.2;e;104.7;e;97.0;e;99.9;e;38.7;e
;;;October;104.8;e;110.9;e;104.7;e;110.9;e;99.9;e;38.7;e
;;;November;104.8;e;156.4;e;104.7;e;156.1;e;99.9;e;38.7;e
;;;December;105.1;e;96.8;e;105.0;e;96.7;e;99.9;e;38.7;e
;;2023;January;105.1;e;96.8;e;105.0;e;96.7;e;99.9;e;38.7;e
;;;February;105.1;e;96.8;e;105.0;e;96.7;e;99.9;e;38.7;e
;;;March;105.1;e;96.8;e;105.0;e;96.7;e;99.9;e;38.7;e
;;;April;106.2;e;102.8;e;106.0;e;102.6;e;99.9;e;38.7;e
;;;May;106.2;e;97.8;e;106.0;e;97.7;e;99.9;e;38.7;e
;;;June;106.2;e;118.8;e;106.0;e;118.6;e;99.9;e;38.7;e
;;;July;106.2;e;97.8;e;106.0;e;97.7;e;99.9;e;38.7;e
;;;August;107.1;e;99.6;e;107.0;e;99.5;e;99.9;e;38.7;e
;;;September;107.1;e;99.2;e;107.0;e;99.1;e;99.9;e;38.7;e
;;;October;107.1;e;113.9;e;107.0;e;113.8;e;99.9;e;38.7;e
;;;November;107.5;e;161.6;e;107.4;e;161.4;e;99.9;e;38.7;e
;;;December;108.7;e;100.1;e;108.6;e;100.0;e;99.9;e;38.7;e
;;2024;January;108.7;e;102.5;e;108.6;e;102.4;e;99.9;e;38.7;e
;;;February;108.7;e;114.6;e;108.6;e;114.4;e;99.9;e;38.7;e
;;;March;109.0;e;100.4;e;108.8;e;100.2;e;99.9;e;38.7;e
;;;April;109.2;e;103.4;e;109.1;e;103.2;e;99.9;e;38.7;e
;;;May;109.2;e;100.6;e;109.1;e;100.5;e;99.9;e;38.7;e
;;;June;109.2;e;121.8;e;109.1;e;121.7;e;99.9;e;38.7;e
;;;July;109.2;e;100.6;e;109.1;e;100.5;e;99.9;e;38.7;e
;;;August;109.7;e;101.0;e;109.6;e;100.9;e;99.9;e;38.7;e
;;;September;109.7;e;101.0;e;109.6;e;100.9;e;99.9;e;38.7;e
;;;October;109.7;e;116.8;e;109.6;e;116.7;e;99.9;e;38.7;e
;;;November;109.7;e;164.0;e;109.6;e;163.7;e;99.9;e;38.7;e
;;;December;...;;...;;...;;...;;...;;...;
WZ08-05;Mining of coal and lignite;2010;January;84.0;e;86.5;e;84.0;e;86.0;e;100.0;e;39.3;e
;;;February;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;March;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;April;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;May;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;June;84.0;e;84.4;e;84.0;e;84.7;e;100.0;e;39.3;e
;;;July;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;August;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;September;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;October;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;;November;84.0;e;157.5;e;84.0;e;157.5;e;100.0;e;39.3;e
;;;December;84.0;e;76.8;e;84.0;e;76.8;e;100.0;e;39.3;e
;;2011;January;84.8;e;77.5;e;84.8;e;77.6;e;100.0;e;39.3;e
;;;February;84.8;e;77.5;e;84.8;e;77.6;e;100.0;e;39.3;e
;;;March;84.8;e;92.9;e;84.8;e;93.3;e;100.0;e;39.3;e
;;;April;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;;May;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;;June;86.7;e;87.0;e;86.7;e;87.2;e;100.0;e;39.3;e
;;;July;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;;August;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;;September;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;;October;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;;November;86.7;e;161.0;e;86.7;e;160.9;e;100.0;e;39.3;e
;;;December;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;2012;January;86.7;e;79.4;e;86.7;e;79.4;e;100.0;e;39.3;e
;;;February;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;March;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;April;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;May;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;June;87.5;e;87.7;e;87.4;e;87.9;e;100.0;e;39.3;e
;;;July;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;August;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;September;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;October;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;November;87.5;e;162.3;e;87.4;e;162.3;e;100.0;e;39.3;e
;;;December;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;2013;January;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;February;87.5;e;80.1;e;87.4;e;80.1;e;100.0;e;39.3;e
;;;March;87.5;e;96.1;e;87.4;e;96.6;e;100.0;e;39.3;e
;;;April;89.5;e;82.0;e;89.6;e;82.0;e;100.0;e;39.3;e
;;;May;90.3;e;84.1;e;90.3;e;84.0;e;100.0;e;39.3;e
;;;June;90.3;e;90.2;e;90.3;e;90.5;e;100.0;e;39.3;e
;;;July;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;;August;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;;September;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;;October;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;;November;90.3;e;165.6;e;90.3;e;165.4;e;100.0;e;39.3;e
;;;December;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;2014;January;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;;February;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;;March;90.3;e;82.6;e;90.3;e;82.6;e;100.0;e;39.3;e
;;;April;90.8;e;83.1;e;90.7;e;83.0;e;100.0;e;39.3;e
;;;May;90.8;e;83.1;e;90.7;e;83.0;e;100.0;e;39.3;e
;;;June;90.8;e;90.8;e;90.7;e;91.0;e;100.0;e;39.3;e
;;;July;90.8;e;83.1;e;90.7;e;83.0;e;100.0;e;39.3;e
;;;August;90.8;e;83.1;e;90.7;e;83.0;e;100.0;e;39.3;e
;;;September;90.8;e;83.1;e;90.7;e;83.0;e;100.0;e;39.3;e
;;;October;90.8;e;83.1;e;90.7;e;83.0;e;100.0;e;39.3;e
;;;November;90.8;e;166.5;e;90.7;e;166.4;e;100.0;e;39.3;e
;;;December;90.8;e;83.1;e;90.7;e;83.0;e;100.0;e;39.3;e
;;2015;January;90.8;e;84.8;e;90.8;e;84.8;e;100.0;e;39.0;e
;;;February;90.9;e;84.8;e;90.9;e;84.8;e;100.0;e;39.0;e
;;;March;90.9;e;94.9;e;90.9;e;94.9;e;100.0;e;39.0;e
;;;April;91.5;e;85.4;e;91.5;e;85.4;e;100.0;e;39.0;e
;;;May;93.5;e;87.3;e;93.5;e;87.3;e;100.0;e;39.0;e
;;;June;93.5;e;91.1;e;93.5;e;91.1;e;100.0;e;39.0;e
;;;July;93.7;e;87.4;e;93.7;e;87.4;e;100.0;e;39.0;e
;;;August;93.7;e;87.4;e;93.7;e;87.4;e;100.0;e;39.0;e
;;;September;93.7;e;87.4;e;93.7;e;87.4;e;100.0;e;39.0;e
;;;October;93.7;e;93.4;e;93.7;e;93.4;e;100.0;e;39.0;e
;;;November;93.7;e;146.9;e;93.7;e;146.9;e;100.0;e;39.0;e
;;;December;93.7;e;87.4;e;93.7;e;87.4;e;100.0;e;39.0;e
;;2016;January;93.7;e;88.1;e;93.7;e;88.1;e;100.0;e;39.0;e
;;;February;93.7;e;87.8;e;93.7;e;87.8;e;100.0;e;39.0;e
;;;March;93.7;e;87.5;e;93.7;e;87.5;e;100.0;e;39.0;e
;;;April;93.7;e;87.5;e;93.7;e;87.5;e;100.0;e;39.0;e
;;;May;93.7;e;87.5;e;93.7;e;87.5;e;100.0;e;39.0;e
;;;June;93.7;e;91.2;e;93.7;e;91.2;e;100.0;e;39.0;e
;;;July;93.7;e;87.5;e;93.7;e;87.5;e;100.0;e;39.0;e
;;;August;93.7;e;87.5;e;93.7;e;87.5;e;100.0;e;39.0;e
;;;September;93.7;e;87.5;e;93.7;e;87.5;e;100.0;e;39.0;e
;;;October;93.7;e;93.5;e;93.7;e;93.5;e;100.0;e;39.0;e
;;;November;93.7;e;147.0;e;93.7;e;147.0;e;100.0;e;39.0;e
;;;December;94.3;e;95.1;e;94.3;e;95.1;e;100.0;e;39.0;e
;;2017;January;94.3;e;88.1;e;94.3;e;88.1;e;100.0;e;39.0;e
;;;February;94.3;e;88.1;e;94.3;e;88.1;e;100.0;e;39.0;e
;;;March;94.3;e;98.1;e;94.3;e;98.1;e;100.0;e;39.0;e
;;;April;94.3;e;88.8;e;94.3;e;88.8;e;100.0;e;39.0;e
;;;May;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;;June;96.5;e;93.8;e;96.5;e;93.8;e;100.0;e;39.0;e
;;;July;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;;August;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;;September;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;;October;96.5;e;96.0;e;96.5;e;96.0;e;100.0;e;39.0;e
;;;November;96.5;e;150.9;e;96.5;e;150.9;e;100.0;e;39.0;e
;;;December;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;2018;January;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;;February;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;;March;96.5;e;90.0;e;96.5;e;90.0;e;100.0;e;39.0;e
;;;April;96.7;e;90.6;e;96.7;e;90.6;e;100.0;e;39.0;e
;;;May;96.7;e;90.2;e;96.7;e;90.2;e;100.0;e;39.0;e
;;;June;96.7;e;94.0;e;96.7;e;94.0;e;100.0;e;39.0;e
;;;July;96.7;e;90.2;e;96.7;e;90.2;e;100.0;e;39.0;e
;;;August;96.7;e;90.2;e;96.7;e;90.2;e;100.0;e;39.0;e
;;;September;96.7;e;90.2;e;96.7;e;90.2;e;100.0;e;39.0;e
;;;October;96.7;e;96.3;e;96.7;e;96.3;e;100.0;e;39.0;e
;;;November;96.7;e;150.3;e;96.7;e;150.3;e;100.0;e;39.0;e
;;;December;97.5;e;92.6;e;97.5;e;92.6;e;100.0;e;39.0;e
;;2019;January;97.6;e;91.2;e;97.6;e;91.2;e;100.0;e;39.0;e
;;;February;97.6;e;91.1;e;97.6;e;91.1;e;100.0;e;39.0;e
;;;March;97.6;e;91.1;e;97.6;e;91.1;e;100.0;e;39.0;e
;;;April;99.4;e;92.8;e;99.4;e;92.8;e;100.0;e;39.0;e
;;;May;99.4;e;92.8;e;99.4;e;92.8;e;100.0;e;39.0;e
;;;June;99.4;e;96.7;e;99.4;e;96.7;e;100.0;e;39.0;e
;;;July;99.4;e;92.8;e;99.4;e;92.8;e;100.0;e;39.0;e
;;;August;99.5;e;93.0;e;99.5;e;93.0;e;100.0;e;39.0;e
;;;September;99.5;e;92.9;e;99.5;e;92.9;e;100.0;e;39.0;e
;;;October;99.5;e;99.1;e;99.5;e;99.1;e;100.0;e;39.0;e
;;;November;99.5;e;153.9;e;99.5;e;153.9;e;100.0;e;39.0;e
;;;December;99.5;e;92.9;e;99.5;e;92.9;e;100.0;e;39.0;e
;;2020;January;99.7;e;92.9;e;99.7;e;92.9;e;100.0;e;38.9;e
;;;February;99.7;e;92.9;e;99.7;e;92.9;e;100.0;e;38.9;e
;;;March;100.1;e;93.2;e;100.1;e;93.2;e;100.0;e;38.9;e
;;;April;100.1;e;93.2;e;100.1;e;93.2;e;100.0;e;38.9;e
;;;May;100.1;e;93.2;e;100.1;e;93.2;e;100.0;e;38.9;e
;;;June;100.1;e;108.0;e;100.1;e;108.0;e;100.0;e;38.9;e
;;;July;100.1;e;93.2;e;100.1;e;93.2;e;100.0;e;38.9;e
;;;August;100.1;e;93.2;e;100.1;e;93.2;e;100.0;e;38.9;e
;;;September;100.1;e;93.2;e;100.1;e;93.2;e;100.0;e;38.9;e
;;;October;100.1;e;111.5;e;100.1;e;111.5;e;100.0;e;38.9;e
;;;November;100.1;e;142.4;e;100.1;e;142.4;e;100.0;e;38.9;e
;;;December;100.1;e;93.2;e;100.1;e;93.2;e;100.0;e;38.9;e
;;2021;January;101.4;e;94.4;e;101.4;e;94.4;e;100.0;e;38.9;e
;;;February;101.4;e;94.4;e;101.4;e;94.4;e;100.0;e;38.9;e
;;;March;101.8;e;95.6;e;101.8;e;95.6;e;100.0;e;38.9;e
;;;April;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;;May;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;;June;101.8;e;109.6;e;101.8;e;109.6;e;100.0;e;38.9;e
;;;July;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;;August;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;;September;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;;October;101.8;e;113.1;e;101.8;e;113.1;e;100.0;e;38.9;e
;;;November;101.8;e;144.4;e;101.8;e;144.4;e;100.0;e;38.9;e
;;;December;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;2022;January;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;;February;101.8;e;94.8;e;101.8;e;94.8;e;100.0;e;38.9;e
;;;March;103.6;e;114.2;e;103.6;e;114.2;e;100.0;e;38.9;e
;;;April;103.6;e;96.5;e;103.6;e;96.5;e;100.0;e;38.9;e
;;;May;104.3;e;97.1;e;104.3;e;97.1;e;100.0;e;38.9;e
;;;June;104.3;e;112.1;e;104.3;e;112.1;e;100.0;e;38.9;e
;;;July;104.3;e;97.1;e;104.3;e;97.1;e;100.0;e;38.9;e
;;;August;104.3;e;97.1;e;104.3;e;97.1;e;100.0;e;38.9;e
