Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
;;;November;89.0;e;129.5;e;89.0;e;129.5;e;100.0;e;38.5;e
;;;December;89.0;e;85.8;e;89.0;e;85.8;e;100.0;e;38.5;e
;;2016;January;89.1;e;84.0;e;89.1;e;84.0;e;100.0;e;38.5;e
;;;February;89.2;e;83.8;e;89.2;e;83.8;e;100.0;e;38.5;e
;;;March;89.5;e;84.0;e;89.5;e;84.0;e;100.0;e;38.5;e
;;;April;89.5;e;84.1;e;89.5;e;84.1;e;100.0;e;38.5;e
;;;May;89.6;e;84.1;e;89.6;e;84.1;e;100.0;e;38.5;e
;;;June;89.8;e;96.3;e;89.8;e;96.3;e;100.0;e;38.5;e
;;;July;90.2;e;85.4;e;90.2;e;85.4;e;100.0;e;38.5;e
;;;August;90.7;e;86.9;e;90.7;e;86.9;e;100.0;e;38.5;e
;;;September;90.9;e;85.8;e;90.9;e;85.8;e;100.0;e;38.5;e
;;;October;91.1;e;86.0;e;91.1;e;86.0;e;100.0;e;38.5;e
;;;November;91.2;e;132.2;e;91.2;e;132.2;e;100.0;e;38.5;e
;;;December;91.2;e;88.2;e;91.2;e;88.2;e;100.0;e;38.5;e
;;2017;January;91.5;e;86.2;e;91.5;e;86.2;e;100.0;e;38.5;e
;;;February;92.0;e;86.4;e;92.0;e;86.4;e;100.0;e;38.5;e
;;;March;92.0;e;86.4;e;92.0;e;86.4;e;100.0;e;38.5;e
;;;April;92.6;e;87.6;e;92.6;e;87.6;e;100.0;e;38.5;e
;;;May;92.8;e;87.4;e;92.8;e;87.4;e;100.0;e;38.5;e
;;;June;92.8;e;99.6;e;92.8;e;99.6;e;100.0;e;38.5;e
;;;July;92.9;e;87.7;e;92.9;e;87.7;e;100.0;e;38.5;e
;;;August;93.1;e;87.7;e;93.1;e;87.7;e;100.0;e;38.5;e
;;;September;93.2;e;87.7;e;93.2;e;87.7;e;100.0;e;38.5;e
;;;October;93.3;e;87.7;e;93.3;e;87.7;e;100.0;e;38.5;e
;;;November;93.3;e;134.7;e;93.3;e;134.7;e;100.0;e;38.5;e
;;;December;93.3;e;88.4;e;93.3;e;88.4;e;100.0;e;38.5;e
;;2018;January;93.9;e;88.4;e;93.9;e;88.4;e;100.0;e;38.5;e
;;;February;94.0;e;88.3;e;94.0;e;88.3;e;100.0;e;38.5;e
;;;March;94.0;e;88.7;e;94.0;e;88.7;e;100.0;e;38.5;e
;;;April;94.6;e;89.0;e;94.6;e;89.0;e;100.0;e;38.5;e
;;;May;94.8;e;89.0;e;94.8;e;89.0;e;100.0;e;38.5;e
;;;June;95.1;e;102.2;e;95.1;e;102.2;e;100.0;e;38.5;e
;;;July;95.1;e;89.7;e;95.1;e;89.7;e;100.0;e;38.5;e
;;;August;95.7;e;92.1;e;95.7;e;92.2;e;100.0;e;38.5;e
;;;September;95.8;e;90.9;e;95.8;e;91.0;e;100.0;e;38.5;e
;;;October;96.2;e;91.0;e;96.2;e;91.1;e;100.0;e;38.5;e
;;;November;96.3;e;138.7;e;96.3;e;138.7;e;100.0;e;38.5;e
;;;December;96.4;e;91.4;e;96.4;e;91.4;e;100.0;e;38.5;e
;;2019;January;96.6;e;90.7;e;96.6;e;90.7;e;100.0;e;38.5;e
;;;February;96.6;e;90.8;e;96.6;e;90.8;e;100.0;e;38.5;e
;;;March;96.6;e;90.7;e;96.6;e;90.7;e;100.0;e;38.5;e
;;;April;97.3;e;91.4;e;97.3;e;91.4;e;100.0;e;38.5;e
;;;May;97.4;e;91.5;e;97.4;e;91.5;e;100.0;e;38.5;e
;;;June;97.9;e;107.8;e;97.9;e;107.8;e;100.0;e;38.5;e
;;;July;98.1;e;97.8;e;98.1;e;97.8;e;100.0;e;38.5;e
;;;August;98.3;e;93.0;e;98.2;e;93.0;e;100.0;e;38.5;e
;;;September;98.5;e;93.2;e;98.5;e;93.2;e;100.0;e;38.5;e
;;;October;98.6;e;92.7;e;98.6;e;92.7;e;100.0;e;38.5;e
;;;November;98.6;e;141.8;e;98.6;e;141.8;e;100.0;e;38.5;e
;;;December;98.6;e;93.5;e;98.6;e;93.5;e;100.0;e;38.5;e
;;2020;January;99.4;e;93.8;e;99.4;e;93.8;e;100.0;e;38.6;e
;;;February;99.5;e;93.6;e;99.5;e;93.6;e;100.0;e;38.6;e
;;;March;99.8;e;93.8;e;99.8;e;93.8;e;100.0;e;38.6;e
;;;April;99.9;e;94.0;e;99.9;e;94.0;e;100.0;e;38.6;e
;;;May;100.0;e;94.0;e;100.0;e;94.0;e;100.0;e;38.6;e
;;;June;100.0;e;109.2;e;100.0;e;109.2;e;100.0;e;38.6;e
;;;July;100.2;e;98.9;e;100.2;e;98.9;e;100.0;e;38.6;e
;;;August;100.2;e;94.6;e;100.2;e;94.6;e;100.0;e;38.6;e
;;;September;100.2;e;94.2;e;100.2;e;94.2;e;100.0;e;38.6;e
;;;October;100.2;e;94.3;e;100.2;e;94.3;e;100.0;e;38.6;e
;;;November;100.3;e;137.1;e;100.3;e;137.1;e;100.0;e;38.6;e
;;;December;100.3;e;102.7;e;100.3;e;102.7;e;100.0;e;38.6;e
;;2021;January;100.8;e;95.2;e;100.8;e;95.2;e;100.0;e;38.6;e
;;;February;100.9;e;94.8;e;100.9;e;94.8;e;100.0;e;38.6;e
;;;March;101.0;e;94.9;e;101.0;e;94.9;e;100.0;e;38.6;e
;;;April;101.4;e;95.3;e;101.4;e;95.3;e;100.0;e;38.6;e
;;;May;101.4;e;95.4;e;101.4;e;95.4;e;100.0;e;38.6;e
;;;June;101.5;e;112.4;e;101.4;e;112.4;e;100.0;e;38.6;e
;;;July;101.5;e;99.2;e;101.5;e;99.2;e;100.0;e;38.6;e
;;;August;101.6;e;95.8;e;101.6;e;95.8;e;100.0;e;38.6;e
;;;September;101.6;e;95.4;e;101.6;e;95.4;e;100.0;e;38.6;e
