Tabelle: 12612-0002
Live births: Germany, months, sex;;;;
Birth statistics;;;;;;;
Germany;;;;;;;
Live births (number);;;;;;;
;;Male;;Female;;Total;
;September;30441;e;29174;e;59615;e
;October;29609;e;28247;e;57856;e
;November;27630;e;25960;e;53590;e
;December;27360;e;25902;e;53262;e
2013;January;28739;e;27180;e;55919;e
;February;25655;e;24131;e;49786;e
;March;27664;e;26558;e;54222;e
;April;27648;e;25989;e;53637;e
;May;29358;e;27410;e;56768;e
;June;29315;e;27754;e;57069;e
;July;33045;e;31163;e;64208;e
;August;31768;e;30672;e;62440;e
;September;32007;e;30718;e;62725;e
;October;29646;e;28479;e;58125;e
;November;27342;e;25643;e;52985;e
;December;27633;e;26552;e;54185;e
2014;January;29448;e;28069;e;57517;e
;February;27289;e;26055;e;53344;e
;March;28839;e;27481;e;56320;e
;April;28731;e;27328;e;56059;e
;May;30744;e;28459;e;59203;e
;June;31224;e;29322;e;60546;e
;July;34231;e;32729;e;66960;e
;August;33112;e;31346;e;64458;e
;September;33225;e;31766;e;64991;e
;October;31499;e;30097;e;61596;e
;November;28787;e;27349;e;56136;e
;December;29706;e;28091;e;57797;e
2015;January;30328;e;29162;e;59490;e
;February;27295;e;26053;e;53348;e
;March;30047;e;28428;e;58475;e
;April;28940;e;27724;e;56664;e
;May;31141;e;29814;e;60955;e
;June;32819;e;30638;e;63457;e
;July;35168;e;33061;e;68229;e
;August;34787;e;32874;e;67661;e
;September;34766;e;32812;e;67578;e
;October;32546;e;31250;e;63796;e
;November;30017;e;28395;e;58412;e
;December;30624;e;28886;e;59510;e
2016;January;31817;e;30605;e;62422;e
;February;30719;e;29357;e;60076;e
;March;32486;e;30772;e;63258;e
;April;30976;e;29125;e;60101;e
;May;33122;e;31462;e;64584;e
;June;34304;e;32434;e;66738;e
;July;37623;e;35413;e;73036;e
;August;37426;e;35752;e;73178;e
;September;36852;e;35263;e;72115;e
;October;34867;e;33522;e;68389;e
;November;32290;e;30990;e;63280;e
;December;33103;e;31851;e;64954;e
2017;January;32623;e;31185;e;63808;e
;February;30297;e;28674;e;58971;e
;March;32577;e;30753;e;63330;e
;April;31496;e;29879;e;61375;e
;May;34588;e;33213;e;67801;e
;June;33901;e;32278;e;66179;e
;July;36977;e;34828;e;71805;e
;August;36795;e;34675;e;71470;e
;September;35556;e;34050;e;69606;e
;October;34074;e;32591;e;66665;e
;November;31874;e;30208;e;62082;e
;December;31752;e;30040;e;61792;e
2018;January;33450;e;31952;e;65402;e
;February;29978;e;28511;e;58489;e
;March;32749;e;30890;e;63639;e
;April;31825;e;30316;e;62141;e
;May;34494;e;32899;e;67393;e
;June;35195;e;33110;e;68305;e
;July;37972;e;35617;e;73589;e
;August;36487;e;34979;e;71466;e
;September;36185;e;33980;e;70165;e
;October;34474;e;32641;e;67115;e
;November;30619;e;29510;e;60129;e
;December;30624;e;29066;e;59690;e
2019;January;32598;e;30677;e;63275;e
;February;29273;e;27911;e;57184;e
;March;31703;e;29976;e;61679;e
;April;32130;e;30504;e;62634;e
;May;33313;e;31629;e;64942;e
;June;34383;e;32333;e;66716;e
;July;37427;e;35233;e;72660;e
;August;36727;e;34835;e;71562;e
;September;36021;e;34036;e;70057;e
;October;34043;e;32787;e;66830;e
;November;30936;e;29624;e;60560;e
;December;30738;e;29253;e;59991;e
2020;January;32664;e;31049;e;63713;e
;February;30188;e;28512;e;58700;e
;March;31646;e;30584;e;62230;e
;April;31404;e;29835;e;61239;e
;May;33457;e;31247;e;64704;e
;June;33916;e;32194;e;66110;e
;July;36626;e;34436;e;71062;e
;August;35892;e;33800;e;69692;e
;September;35924;e;33533;e;69457;e
;October;33855;e;32164;e;66019;e
;November;30461;e;29041;e;59502;e
;December;31352;e;29364;e;60716;e
2021;January;32883;e;31442;e;64325;e
;February;31076;e;29519;e;60595;e
;March;34538;e;32522;e;67060;e
;April;32571;e;31030;e;63601;e
;May;33551;e;31197;e;64748;e
;June;33878;e;32107;e;65985;e
;July;37240;e;35027;e;72267;e
;August;37184;e;35358;e;72542;e
;September;36519;e;34843;e;71362;e
;October;35332;e;33490;e;68822;e
;November;32271;e;30624;e;62895;e
;December;31431;e;29859;e;61290;e
2022;January;30022;e;28387;e;58409;e
;February;27519;e;26198;e;53717;e
;March;29753;e;28378;e;58131;e
;April;29589;e;27855;e;57444;e
;May;33248;e;31830;e;65078;e
;June;33111;e;31553;e;64664;e
;July;35139;e;33244;e;68383;e
;August;34909;e;33037;e;67946;e
;September;34419;e;32511;e;66930;e
;October;32617;e;30757;e;63374;e
;November;29524;e;28302;e;57826;e
;December;29261;e;27656;e;56917;e
2023;January;29479;e;27621;e;57100;e
;February;27245;e;25765;e;53010;e
;March;29613;e;27912;e;57525;e
;April;27748;e;26308;e;54056;e
;May;30283;e;28978;e;59261;e
;June;30751;e;29007;e;59758;e
;July;32278;e;30915;e;63193;e
;August;31457;e;30018;e;61475;e
;September;30320;e;28913;e;59233;e
;October;29863;e;28741;e;58604;e
;November;28648;e;27109;e;55757;e
;December;27614;e;26403;e;54017;e
2024;January;28338;p;26856;p;55194;p
;February;27722;p;26075;p;53797;p
;March;28996;p;27222;p;56218;p
;April;28110;p;26633;p;54743;p
;May;29623;p;28089;p;57712;p
;June;28882;p;27242;p;56124;p
;July;30853;p;29146;p;59999;p
;August;29859;p;28257;p;58116;p
;September;29426;p;28102;p;57528;p
;October;...;;...;;...;
;November;...;;...;;...;
;December;...;;...;;...;
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-12-18 / 21:46:38
